Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	is allocated id range	definition	Add as annotation triples in the granting ontology@en
ERROR	duplicate_definition	term replaced by	definition	Add as annotation triples in the granting ontology@en
ERROR	duplicate_definition	has_specified_output	definition	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en
ERROR	duplicate_definition	is_specified_output_of	definition	A relation between a planned process and a continuant participating in that process. The presence of the continuant at the end of the process is explicitly specified in the objective specification which the process realizes the concretization of.@en
ERROR	multiple_equivalent_classes	admission process	owl:equivalentClass	3186cd76-14e2-47eb-a7fc-476fbb6c59cfgenid996
ERROR	multiple_equivalent_classes	admission process	owl:equivalentClass	3186cd76-14e2-47eb-a7fc-476fbb6c59cfgenid997
ERROR	deprecated_property_reference	obsolete is-aggregate-of	owl:equivalentProperty	<http://purl.obolibrary.org/obo/BFO_0000075>
ERROR	missing_label	http://example.com/bfo-spec-label	label	
ERROR	missing_label	BFO:0000134	label	
ERROR	missing_label	OMRSE:00002028	label	
ERROR	missing_label	OMRSE:00002046	label	
ERROR	missing_label	OMRSE:00002047	label	
ERROR	missing_label	obo:iao/d-acts.owl	label	
ERROR	missing_label	obo:iao/pno.owl	label	
ERROR	missing_label	oboInOwl:DbXref	label	
ERROR	missing_label	oboInOwl:Definition	label	
ERROR	missing_label	oboInOwl:Subset	label	
ERROR	missing_label	oboInOwl:Synonym	label	
ERROR	missing_label	oboInOwl:SynonymType	label	
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/OMRSE_00000098>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/OMRSE_00000100>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/OMRSE_00000133>
ERROR	deprecated_class_reference	obsolete OMB ethnic identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000127>
ERROR	deprecated_class_reference	obsolete OMB ethnic identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000128>
ERROR	deprecated_class_reference	obsolete racial identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000185>
ERROR	deprecated_class_reference	obsolete ethnic identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000083>
ERROR	deprecated_class_reference	OMB racial identification process	owl:someValuesFrom	<http://purl.obolibrary.org/obo/OMRSE_00000185>
ERROR	deprecated_class_reference	obsolete identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000098>
ERROR	deprecated_class_reference	obsolete identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000100>
ERROR	deprecated_class_reference	obsolete identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000133>
ERROR	deprecated_class_reference	obsolete identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000145>
ERROR	deprecated_class_reference	obsolete gender identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000138>
ERROR	deprecated_class_reference	obsolete gender identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000141>
ERROR	deprecated_class_reference	obsolete gender identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000507>
ERROR	deprecated_class_reference	response to a question asking process	owl:someValuesFrom	<http://purl.obolibrary.org/obo/OMRSE_00000168>
ERROR	deprecated_class_reference	questions asking process	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000176>
ERROR	deprecated_class_reference	questions asking process	owl:someValuesFrom	<http://purl.obolibrary.org/obo/OMRSE_00000173>
ERROR	deprecated_class_reference	identity question asking process	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000177>
ERROR	deprecated_class_reference	identity question asking process	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000178>
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000180>
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000181>
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000182>
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000183>
ERROR	deprecated_class_reference	obsolete OMB racial identity datum	rdfs:subClassOf	<http://purl.obolibrary.org/obo/OMRSE_00000184>
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/omrse.owl	dc11:description	
ERROR	multiple_definitions	independent continuant	definition	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en
ERROR	multiple_definitions	independent continuant	definition	<b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en>
ERROR	multiple_definitions	process	definition	An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.@en
ERROR	multiple_definitions	process	definition	<p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])@en>
ERROR	multiple_definitions	specifically dependent continuant	definition	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en
ERROR	multiple_definitions	specifically dependent continuant	definition	<b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1 i &lt; j n, ci and cj share no common parts, are such that for each 1 i n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])@en>
ERROR	multiple_definitions	specifically dependent continuant	definition	<b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en>
ERROR	multiple_definitions	generically dependent continuant	definition	A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.@en
ERROR	multiple_definitions	generically dependent continuant	definition	<b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])@en>
ERROR	multiple_definitions	BFO:0000134	elucidation	<To say that each spatiotemporal region s temporally_projects_onto some temporal region t is to say that t is the temporal extension of s. (axiom label in BFO2 Reference: [080-003])@en>
ERROR	multiple_definitions	BFO:0000134	elucidation	<To say that spatiotemporal region s spatially_projects_onto spatial region r at t is to say that r is the spatial extent of s at t. (axiom label in BFO2 Reference: [081-003])@en>
ERROR	multiple_definitions	centrally registered identifier	definition	An information content entity that consists of a CRID symbol and additional information about the CRID registry to which it belongs.@en
ERROR	multiple_definitions	centrally registered identifier	definition	An information content entity that consists of a CRID symbol and additional information about which CRID registry it belongs. @en
ERROR	multiple_definitions	is allocated id range	definition	Add as annotation triples in the granting ontology@en
ERROR	multiple_definitions	is allocated id range	definition	"Relates an ontology IRI to an (inclusive) range of IRIs in an OBO name space. The range is give as, e.g. \""IAO_0020000-IAO_0020999\""@en"
ERROR	multiple_definitions	identity document	definition	A document that denotes some identity and is concretized by the bearer of some credential role.@en
ERROR	multiple_definitions	identity document	definition	a document that denotes some identity and is concretized by the bearer of some credential role@en
ERROR	multiple_definitions	documented identity	definition	A documented identity is the aggregate of all data items about an entity.  Notice that a documented identity is not itself a document since a document is intended to be understood as a whole and data items about an individual are usually scattered across different documents.@en
ERROR	multiple_definitions	documented identity	definition	a documented identity is the aggregate of all data items about an entity.  Notice that a documented identity is not itself a document since a document is intended to be understood as a whole and data items about an individual are usually scattered across different documents.@en
ERROR	multiple_definitions	authentication	definition	"Authentication is the act of checking or verifying an identity claim (that is either tacit or explicit).
@en"
ERROR	multiple_definitions	authentication	definition	"Authentication is the act of checking or verifying an identity claim (that is either tacit or explicit). 
@en"
ERROR	multiple_definitions	credential role	definition	 a role that inheres in a concretization of an identity document and is realized by an authentication process@en
ERROR	multiple_definitions	credential role	definition	A role that inheres in a concretization of an identity document and is realized by an authentication process.@en
ERROR	multiple_definitions	term replaced by	definition	Add as annotation triples in the granting ontology@en
ERROR	multiple_definitions	term replaced by	definition	Use on obsolete terms, relating the term to another term that can be used as a substitute@en
ERROR	multiple_definitions	aggregate of organizations	definition	An aggregate of organizations that have some feature in common, but is not itself an organization.@en
ERROR	multiple_definitions	aggregate of organizations	definition	An object aggregate that is not itself an organization and whose members are only organizations that have some feature in common@en
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/omrse.owl	dc11:title	
ERROR	multiple_labels	fiat object part	label	fiat object@en
ERROR	multiple_labels	fiat object part	label	fiat object part@en
ERROR	multiple_labels	editor preferred term	label	editor preferred label@en
ERROR	multiple_labels	editor preferred term	label	editor preferred term
ERROR	multiple_labels	editor preferred term	label	editor preferred term@en
ERROR	multiple_labels	definition	label	definition
ERROR	multiple_labels	definition	label	definition@en
ERROR	multiple_labels	definition	label	textual definition
ERROR	multiple_labels	editor note	label	editor note
ERROR	multiple_labels	editor note	label	editor note@en
ERROR	multiple_labels	definition editor	label	definition editor
ERROR	multiple_labels	definition editor	label	definition editor@en
ERROR	multiple_labels	definition editor	label	term editor@en
ERROR	multiple_labels	definition source	label	definition source
ERROR	multiple_labels	definition source	label	definition source@en
ERROR	multiple_labels	curator note	label	curator note
ERROR	multiple_labels	curator note	label	curator note@en
ERROR	multiple_labels	centrally registered identifier	label	CRID@en
ERROR	multiple_labels	centrally registered identifier	label	centrally registered identifier@en
ERROR	multiple_labels	is_specified_output_of	label	is_specified_output_of
ERROR	multiple_labels	is_specified_output_of	label	is_specified_output_of@en
ERROR	multiple_labels	is bearer of	label	bearer of@en
ERROR	multiple_labels	is bearer of	label	bearer_of@en
ERROR	multiple_labels	is bearer of	label	is bearer of@en
ERROR	multiple_labels	has_participant	label	has participant@en
ERROR	multiple_labels	has_participant	label	has_participant
WARN	annotation_whitespace	continuant	has associated axiom(fol)	<(forall (x y) (if (and (Continuant x) (exists (t) (continuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [009-002] >
WARN	annotation_whitespace	continuant	has associated axiom(fol)	<(forall (x y) (if (and (Continuant x) (exists (t) (hasContinuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [126-001] >
WARN	annotation_whitespace	continuant	has associated axiom(fol)	<(forall (x) (if (Continuant x) (Entity x))) // axiom label in BFO2 CLIF: [008-002] >
